#{"t_start": 1764568020.4978087, "env_id": "intersection-v1"}
r,l,t
5.856733,12,182.799332
8.0,9,183.241087
-3.449819,8,183.653972
10.0,10,184.16765
8.0,9,184.625126
9.0,9,184.929881
3.0,13,185.726976
7.562943,10,186.071858
7.552807,10,186.496148
7.549949,13,186.974144
-2.882103,10,187.473451
10.0,10,187.843885
1.604659,13,188.439818
7.471032,12,189.206375
-2.0,4,189.416435
8.615645,10,189.838351
0.0,6,190.041149
2.790819,13,190.664026
9.0,9,191.036479
-2.365057,5,191.198946
-0.682533,6,191.522327
8.314321,11,191.961123
5.151834,13,192.520928
8.615844,10,192.949084
-3.450197,13,193.731713
-1.0,5,193.912854
6.246829,9,194.210742
1.245659,13,194.634669
-1.0,5,194.849072
-2.447956,8,195.306224
0.0,6,195.521823
-4.382153,7,195.799848
-2.447873,7,196.088785
9.0,9,196.354382
9.0,9,196.577246
9.0,9,196.808753
7.471021,13,197.573864
7.562942,11,197.905947
-1.379585,7,198.239927
0.0,6,198.505634
-1.379585,7,198.68788
-1.446814,7,198.924755
6.626744,10,199.436352
6.538975,10,199.70201
6.52517,13,200.174717
0.0,6,200.323917
-1.372771,6,200.624878
3.302569,13,201.121789
-1.0,5,201.328683
-1.539738,9,201.685843
5.536343,13,202.281694
1.549861,13,203.007442
0.708565,9,203.221869
9.0,9,203.498877
-2.444964,6,203.882954
8.0,9,204.192829
4.163335,13,204.525125
7.0,11,205.065459
-1.366575,6,205.257472
0.0,6,205.414213
7.298444,11,206.003395
9.0,9,206.465702
-1.0,11,207.274755
-3.0,6,207.465065
8.2428,12,207.925686
-1.318719,6,208.141226
7.626732,12,208.416316
8.235026,11,208.87349
7.0,13,209.243328
3.090985,13,209.886826
-3.356173,7,210.139683
-3.524424,9,210.510861
-1.0,5,210.738132
-2.054289,8,211.115816
8.616025,10,211.55437
-1.372771,8,211.953234
5.470562,13,212.714954
-1.379585,5,212.863016
-1.318719,6,213.10918
7.615917,9,213.43141
6.552042,12,213.991218
-1.379585,6,214.249249
-1.0,5,214.435905
-2.370348,5,214.651991
9.0,9,214.997941
-2.0,4,215.169119
-2.513924,9,215.577744
-3.316297,7,215.789307
5.549861,13,216.388106
-2.526687,9,216.840964
3.152928,13,217.550476
-2.0,4,217.638361
0.0,6,217.819925
5.878553,12,218.257831
8.615645,10,218.594658
6.257827,10,219.006925
6.534085,13,219.678179
-1.700382,7,220.002129
4.774789,13,220.723746
8.0,8,221.077264
9.0,9,221.385498
2.626803,13,221.887195
-3.514297,8,222.26866
5.68122,13,222.593725
6.240709,12,223.292255
1.0,7,223.576683
-2.0,5,223.76493
-2.687862,6,224.147988
-2.373197,6,224.473238
-1.372771,6,224.663315
-1.372771,6,224.972845
7.306361,10,225.240196
-2.759177,6,225.465409
-1.372771,6,225.64458
-3.524892,11,226.120214
-1.373258,7,226.476708
4.231832,13,226.940041
-2.0,3,227.044705
9.617421,11,227.623136
3.102898,13,228.02923
6.150257,13,228.587162
9.0,9,228.809602
-1.0,5,228.99069
-1.379585,6,229.365501
-0.841249,5,229.603645
7.0,13,230.098418
9.0,9,230.585861
0.549795,13,230.982064
-0.681243,6,231.185361
-2.365057,6,231.42341
6.457424,13,232.015064
7.616072,10,232.321398
-1.379585,6,232.552874
0.0,5,232.769716
-0.447956,9,233.121606
-1.0,5,233.319946
2.109288,13,233.872944
-1.0,7,234.26899
6.538722,10,234.590376
-1.446814,7,234.860511
7.168385,13,235.445469
7.0,13,236.111683
10.0,10,236.713281
-2.370348,6,236.931303
