#{"t_start": 1763702262.0168269, "env_id": "Team7-v0"}
r,l,t
16.061709,23,857.819028
11.52381,17,860.087837
7.419048,12,861.717675
27.6,40,866.580062
8.390476,13,868.336484
28.885714,40,873.533413
28.838095,40,878.898677
16.828571,25,882.040973
6.67619,11,883.515866
26.72381,40,888.710983
10.942857,16,890.791635
9.228571,14,892.562746
9.52381,15,894.534129
22.27619,34,898.926195
26.028571,40,904.087394
9.895238,15,906.107123
12.87619,19,908.616488
5.933333,9,909.79947
7.549605,12,911.411858
18.780952,29,915.066545
27.228571,40,919.926875
7.438095,12,921.482217
12.914286,19,923.968552
18.0,26,927.211938
27.447619,40,932.524164
19.095238,28,936.177279
23.752381,36,940.816192
8.866667,13,942.572803
11.504762,18,944.969774
12.228571,18,947.354373
27.438095,40,952.16275
9.438095,14,954.046192
28.580952,40,959.355288
10.12381,16,961.543514
12.622461,18,963.841913
3.390476,6,964.637833
23.499395,33,968.770976
20.52381,30,972.539207
12.0,19,974.941869
6.404157,10,976.261566
11.295238,17,978.53237
6.176877,10,979.840386
10.97343,16,981.880505
6.666667,10,983.214508
6.542857,10,984.545755
28.380952,40,989.623765
10.733333,16,991.742003
6.219048,10,993.088558
7.761905,12,994.699199
12.066667,18,996.941237
12.078835,19,999.286783
7.352381,12,1000.866405
10.742857,16,1003.004323
8.209524,13,1004.699134
3.419048,6,1005.471994
11.133333,17,1007.746745
25.609524,38,1012.766155
5.67619,9,1013.983074
6.980952,11,1015.580219
4.938084,8,1016.665023
15.704762,23,1019.535067
6.928631,11,1020.981704
8.0,13,1022.707439
13.466667,20,1025.24664
28.228571,40,1030.386159
26.838095,40,1035.241465
8.057143,12,1036.878867
12.361905,19,1039.532721
21.142857,32,1044.106185
10.066667,16,1046.249819
16.904762,25,1049.503564
8.352381,13,1051.177243
9.197716,14,1053.047532
16.228571,24,1056.145082
20.847619,31,1060.07202
27.6,40,1064.965808
26.895238,40,1069.91508
11.666667,17,1072.08809
24.2,36,1076.661817
7.342857,12,1078.279065
13.428571,21,1080.938961
22.752381,33,1084.990812
28.428571,40,1090.138207
25.390476,36,1094.593648
27.32381,40,1099.577925
21.12381,31,1103.416635
13.933333,21,1106.117399
5.057143,8,1107.150854
11.014164,16,1109.197079
6.428571,10,1110.488502
17.790476,27,1114.017382
10.561905,16,1116.076449
12.209524,19,1118.483674
5.485714,9,1119.690663
29.2,40,1124.533023
17.895238,26,1127.876012
21.104762,31,1131.487366
14.742857,22,1134.202724
8.733333,14,1136.116539
10.047619,15,1138.154683
26.895238,40,1143.140857
27.238095,40,1148.121809
13.514286,21,1150.861315
27.299338,40,1155.693951
26.761905,40,1160.714841
14.515641,21,1163.445246
4.12381,7,1164.403188
5.4,9,1165.768168
28.514286,40,1171.135337
4.771429,8,1172.209248
9.390476,15,1174.115557
20.719531,29,1177.713452
28.982678,40,1182.7516
7.561905,12,1184.319532
13.561905,20,1186.909146
12.590476,19,1189.366938
8.761905,13,1191.093886
6.742857,11,1192.53506
27.895238,40,1197.618843
8.352462,13,1199.314404
24.380952,37,1204.113775
27.515638,40,1209.370265
8.561905,13,1211.068795
26.828571,40,1216.227095
7.961905,12,1217.85757
9.857143,15,1219.750696
15.171429,23,1222.669667
28.74771,40,1227.559394
15.466667,22,1230.430288
12.352381,19,1232.904479
4.333333,7,1233.845033
24.828571,35,1238.1939
10.914286,16,1240.219821
29.316619,40,1244.924181
15.891953,23,1248.077111
8.914286,14,1249.947135
5.780952,9,1251.16071
9.485714,14,1253.025486
24.095238,34,1257.735304
20.87619,32,1261.989659
4.308916,7,1262.902242
17.561905,25,1266.230733
17.659476,27,1269.581653
22.133333,33,1273.637884
10.047619,16,1275.737838
28.752381,40,1281.059521
11.485714,18,1283.45643
12.105064,19,1285.938994
26.926143,40,1290.942958
18.895238,27,1294.18631
17.580952,27,1297.757241
5.161905,8,1298.914204
15.47619,23,1301.759781
6.133333,10,1303.07976
10.571429,16,1305.135703
2.085714,4,1305.687989
11.67619,18,1308.058567
4.685714,8,1309.11605
3.68961,6,1309.903159
20.518386,31,1313.674567
8.925679,13,1315.55176
19.857143,28,1319.182052
5.489871,9,1320.344762
28.628571,40,1325.605128
12.533333,18,1327.933254
14.733333,23,1330.852997
13.4,21,1333.626046
8.838095,13,1335.321078
22.07619,33,1339.291911
11.314286,17,1341.593167
9.295238,14,1343.515133
17.171429,25,1346.883256
15.438095,22,1349.858921
8.161905,13,1351.571132
19.585109,28,1355.105574
26.504762,40,1359.822633
8.704762,14,1361.65943
20.238095,31,1365.601343
4.771429,8,1366.657396
7.342857,12,1368.237221
8.104762,12,1369.80469
18.238095,28,1373.311335
5.463267,9,1374.492236
16.0,23,1377.541044
9.190476,14,1379.429306
4.380952,7,1380.354131
26.704762,40,1385.237429
23.304762,33,1389.260111
12.666667,20,1391.91462
29.381254,40,1397.031988
19.428571,29,1400.852603
29.308341,40,1406.014789
27.266667,40,1411.117581
21.980952,31,1415.487863
28.238095,40,1421.242049
10.771429,17,1423.636214
15.333333,22,1426.742489
13.266667,19,1429.148471
17.67619,27,1432.564087
7.085714,11,1434.030351
28.857143,40,1439.087433
6.619048,10,1440.377053
27.104762,40,1445.004687
16.27619,25,1448.09342
5.933333,9,1449.285121
21.161905,30,1453.028169
28.019048,40,1458.088493
4.190476,7,1458.996077
28.228571,40,1463.8576
15.980952,23,1466.688032
12.019048,18,1469.085679
7.838095,12,1470.668279
26.809524,40,1475.872312
5.419048,9,1477.33088
16.142857,23,1480.220496
4.266667,7,1481.12485
6.152381,10,1482.413307
12.742857,19,1484.925681
20.390476,29,1488.547269
4.666667,8,1489.611399
15.942857,23,1492.575323
27.52381,40,1497.678229
6.666667,10,1498.981893
13.180952,19,1501.355106
7.190476,11,1502.802778
28.057143,40,1507.727949
24.442662,37,1512.412854
12.714286,20,1514.978518
11.066667,16,1516.938031
11.638095,17,1519.161052
11.67619,17,1521.438997
6.447619,10,1522.745792
11.552381,17,1524.969834
28.52381,40,1529.778713
5.099395,8,1530.826342
16.914286,26,1534.029218
22.828571,34,1538.337582
29.266667,40,1543.263583
15.542857,24,1546.361916
28.561905,40,1551.336401
11.333333,18,1553.782375
28.028571,40,1559.096392
28.228571,40,1563.915016
20.028571,29,1567.655538
10.057143,16,1569.77939
9.809524,15,1571.721485
3.390476,6,1572.508515
5.047619,8,1573.562726
15.314286,23,1576.286263
5.447619,9,1577.503517
10.047619,16,1579.586914
9.761905,15,1581.525986
25.552381,36,1586.259566
27.080347,40,1591.276134
21.066667,31,1595.189524
11.669053,17,1597.659203
12.942857,20,1600.215504
27.306987,40,1605.240223
18.161905,28,1608.687032
7.142857,11,1610.165316
18.768127,27,1613.587062
15.104762,23,1616.785885
9.409524,15,1618.762985
9.457143,15,1620.748594
29.333333,40,1625.82389
6.285714,10,1627.142898
15.942938,23,1630.061508
16.095238,23,1633.290554
20.942857,31,1637.312834
27.07619,40,1642.202448
13.057143,20,1644.771165
6.52381,10,1646.079498
12.857143,20,1648.675236
10.333333,15,1650.621382
14.952381,23,1653.624558
5.2,8,1654.6877
12.952381,19,1657.153346
18.192794,27,1660.630667
13.457143,20,1663.271538
6.857143,11,1664.699291
25.571429,36,1669.066918
28.828571,40,1673.650245
16.885714,25,1676.933492
27.333333,40,1681.828665
27.25483,40,1687.15322
13.27619,20,1689.760328
9.495238,14,1691.598962
3.733333,6,1692.430334
26.47619,38,1697.518149
13.066667,19,1700.033011
13.380952,21,1702.661751
8.742857,14,1704.552449
27.609524,40,1709.80016
11.304762,17,1712.572341
23.219048,33,1716.853559
16.752381,26,1720.340429
28.785109,40,1725.8305
14.180952,21,1728.69376
21.257143,30,1732.494029
29.180952,40,1737.646911
27.354711,40,1742.541118
