#{"t_start": 1764113505.00061, "env_id": "None"}
r,l,t
14.79046,17,13.366021
14.879511,16,13.387834
25.573097,31,13.401865
23.217134,26,13.401906
12.785706,16,13.401914
23.926659,27,13.471937
27.82387,31,13.47199
9.937283,11,13.502252
9.811554,11,13.502383
10.692808,12,13.510897
18.716164,22,13.54911
8.699529,10,13.5579
8.784744,10,13.584721
10.101545,11,13.595846
12.37412,14,13.59589
20.278055,25,13.5959
8.207038,9,13.673537
22.85487,30,13.706556
14.595725,16,13.757416
10.811954,12,13.771393
12.272641,14,13.801243
14.103247,15,13.812745
19.957617,25,13.812797
9.088506,10,13.835391
14.5938015,17,13.939901
15.341393,17,13.948298
14.239542,16,13.956549
27.677841,31,13.956594
21.69227,25,13.956602
14.147022,16,13.966091
13.934005,16,13.96615
10.934841,12,14.031258
9.831325,11,14.039632
10.293382,12,14.039677
13.767371,16,14.056901
12.119386,14,14.063999
24.414679,29,14.072908
16.657953,19,14.095273
10.088889,11,14.127749
13.360285,15,14.161219
15.146967,17,14.171116
25.440657,29,14.181032
10.63213,12,14.233387
17.375095,20,14.233456
21.75104,24,14.300565
14.284552,16,14.348039
24.548605,28,14.348092
16.360315,19,14.364521
24.805098,28,14.372355
13.277938,15,14.396283
11.905846,13,14.403759
20.79434,24,14.421442
7.9860826,9,14.446992
10.501795,12,14.461329
14.541665,16,14.477342
12.205589,14,14.505905
26.465534,30,14.516149
19.850761,22,14.524633
11.416976,13,14.577373
26.072878,29,14.625173
24.151375,29,14.640136
21.684244,25,14.647656
16.569996,19,14.665034
17.057407,21,14.674551
26.759111,32,14.687992
14.446723,16,14.694519
9.011212,10,14.704296
23.056015,26,14.704318
9.913649,11,14.729412
9.577323,11,14.759915
14.627926,16,14.789331
20.820345,25,14.828118
15.040765,18,14.828167
15.281251,18,14.837572
21.854187,25,14.855811
11.658408,13,14.870325
22.309742,27,14.904213
9.725451,11,14.912734
8.917121,10,14.912758
11.549257,13,14.927332
24.905157,28,14.943936
14.670172,16,14.977352
8.771438,10,14.994148
9.667784,11,14.994203
7.0903916,8,15.012752
25.310074,30,15.031306
7.055556,8,15.093106
16.491516,19,15.102531
9.724636,11,15.120043
7.9855976,9,15.120098
28.413189,32,15.164488
27.214931,30,15.215774
16.03641,18,15.215824
13.9440975,16,15.230979
11.68622,13,15.231023
23.431234,29,15.252279
8.2115,9,15.280255
12.650119,15,15.320288
19.66958,26,15.320334
27.822432,31,15.344037
14.241265,16,15.369469
17.659979,21,15.384764
17.944273,22,15.3918
26.822214,32,15.407194
8.683254,10,15.420764
17.776688,20,15.427737
8.912063,10,15.499678
16.13549,18,15.525444
17.251768,20,15.533531
14.464415,16,15.543135
25.048882,30,15.555356
17.057892,20,15.56329
22.157919,28,15.585286
24.53849,34,15.58531
11.268397,13,15.635055
14.836903,18,15.662191
14.787438,17,15.682135
11.789856,13,15.68218
11.686178,13,15.682189
21.13625,27,15.712984
22.035923,26,15.734151
8.803738,10,15.754681
11.046336,12,15.770149
10.395619,12,15.770183
25.669477,30,15.786804
7.222223,8,15.793837
8.250977,9,15.816468
19.352062,24,15.836038
15.307034,18,15.836074
23.286522,28,15.842264
13.171805,15,15.873813
11.572433,14,15.880956
7.96084,9,15.880981
13.363541,15,15.897164
8.652797,10,15.914389
20.259594,25,15.941089
14.98449,17,15.95519
8.151038,9,15.95522
10.05851,11,15.955227
10.701504,12,15.955233
8.891968,10,15.985391
8.0260315,9,16.02094
8.173887,9,16.020964
12.379532,14,16.057198
29.26692,35,16.095446
24.996275,29,16.095499
10.172269,11,16.109876
7.1944447,8,16.121293
17.069262,19,16.128176
8.829789,10,16.161119
27.25276,31,16.169782
11.46137,13,16.184864
28.351116,32,16.192033
21.822577,25,16.202615
16.974916,19,16.244937
16.253826,19,16.252012
11.855109,13,16.267634
11.943589,14,16.284889
10.722989,12,16.284913
23.739706,27,16.294071
22.95491,26,16.340282
9.0182085,10,16.340318
11.518509,13,16.347392
10.821915,13,16.375397
24.023447,30,16.37543
8.95331,10,16.436176
26.176105,31,16.459418
21.374544,26,16.466721
14.542467,16,16.482584
27.849415,31,16.495879
22.186672,25,16.510972
7.9077206,9,16.531511
23.921726,30,16.54503
9.259939,10,16.552923
28.180931,33,16.574989
13.584569,16,16.575022
13.178253,15,17.492704
19.980745,24,17.499269
10.838991,12,17.50557
8.96058,10,17.534329
11.820806,13,17.560592
21.74376,24,17.577425
16.94632,19,17.577467
9.859241,11,17.585173
10.277779,11,17.594091
18.321081,21,17.602527
12.665106,14,17.647898
8.591312,10,17.661243
19.081345,22,17.661283
11.54179,13,17.675868
8.790616,10,17.675899
15.727982,18,17.703043
7.9321966,9,17.730498
9.362793,11,17.746241
18.59906,21,17.753496
14.320244,18,17.785023
23.969727,28,17.794328
9.892936,11,17.834949
17.173296,20,17.834993
11.828445,13,17.856778
17.494549,23,17.880196
25.096169,28,17.896928
11.12497,12,17.929352
22.078682,26,17.939184
11.271818,12,17.957328
9.582201,11,17.987239
24.197233,27,18.002082
14.412205,16,18.009879
28.79164,32,18.045689
25.656086,29,18.067665
15.258981,18,18.089657
12.999229,15,18.134839
19.724695,23,18.142696
8.968727,10,18.152569
22.478252,27,18.152595
10.682972,12,18.23101
28.184816,32,18.239124
11.996668,14,18.239154
17.830017,22,18.256446
28.538914,33,18.265487
24.72445,30,18.289495
11.308264,13,18.338196
16.16596,18,18.368289
23.579048,30,18.377265
28.201742,34,18.405291
17.719776,20,18.412778
10.002945,11,18.420133
20.13281,24,18.466516
12.252787,14,18.474393
23.657808,31,18.48938
9.181166,10,18.498753
31.243423,36,18.513296
7.25,8,18.533656
14.165862,16,18.533681
26.84906,30,18.605034
19.236338,23,18.640049
28.42561,32,18.647305
7.9688034,9,18.668356
20.927944,27,18.694732
18.979197,22,18.694755
23.460846,30,18.713229
20.011602,25,18.723056
26.715847,33,18.763182
11.917142,13,18.804753
12.542137,14,18.815229
16.781881,18,18.815262
18.654175,22,18.822109
27.307787,30,18.873537
9.116667,10,18.889112
18.955933,23,18.899154
14.636103,17,18.899195
9.96668,11,18.913536
12.365489,14,18.922468
8.049243,9,18.952023
28.811169,33,18.991451
8.042475,9,19.022553
24.738636,29,19.053144
17.687433,20,19.076873
10.613824,12,19.091102
21.525988,25,19.098612
11.19445,12,19.143715
24.85952,28,19.143765
28.061365,31,19.151732
24.545286,31,19.151768
18.737614,22,19.196113
16.008295,18,19.222119
17.953554,21,19.22911
12.325472,14,19.243419
10.179234,11,19.278593
18.22499,21,19.302563
27.789055,31,19.330113
23.70204,27,19.353764
15.544185,18,19.360489
15.257276,18,19.36712
24.35192,32,19.392782
8.984988,10,19.432167
10.123704,11,19.455779
21.558804,24,19.466734
20.726265,23,19.4863
16.700294,20,19.4936
30.07121,35,19.526266
7.9147882,9,19.533542
11.697677,13,19.540096
20.99692,24,19.587677
24.537716,28,19.587723
15.062291,17,19.604282
9.847207,11,19.620237
16.238201,18,19.630401
12.215029,14,19.654388
19.279678,22,19.66991
11.583371,13,19.71886
11.200001,12,19.718912
8.604683,10,19.725379
16.08151,18,19.740721
23.46376,31,19.763509
23.147657,28,19.800306
24.379274,32,19.829466
18.898027,23,19.837322
8.061111,9,19.900348
11.334163,13,19.9004
23.45502,27,19.919221
26.576519,31,19.960253
27.434437,32,19.960292
22.107319,30,19.968546
15.439438,19,19.988322
24.749596,29,19.988366
15.049833,17,20.031912
8.977395,10,20.037913
21.416853,24,20.084481
22.945217,26,20.127419
16.436308,20,20.127461
18.215643,21,20.127472
10.895952,13,20.136158
11.145104,12,20.221592
27.05592,31,20.231961
11.540222,13,20.231993
27.26399,31,20.232003
22.011976,27,20.254754
20.06921,24,20.280387
18.071194,21,20.306232
11.559687,13,20.328251
12.608373,14,20.348662
23.412252,29,20.364866
12.563837,14,20.422324
19.585228,24,20.478565
27.288282,31,20.489334
25.018522,31,20.489372
26.977884,30,20.511937
23.125576,29,20.596527
8.894709,10,20.596583
11.878214,13,20.596593
22.784473,29,20.615684
25.254383,34,20.625838
17.812473,21,20.695401
10.239278,11,20.711961
27.755274,33,20.73125
24.390707,27,20.753556
15.841734,18,20.853249
25.696037,30,20.86334
27.573332,31,20.872793
25.272827,30,20.890405
23.90682,32,20.899916
19.516918,23,20.916445
17.837349,22,20.925464
11.002712,12,20.954151
9.078925,10,20.95419
25.21155,34,20.972417
8.776658,10,20.999027
11.245718,13,20.999069
16.987185,20,21.083755
9.829545,11,21.083803
24.400517,28,21.091324
22.214087,27,21.116543
19.618399,23,21.137494
9.82564,11,21.172454
26.18038,29,21.180822
21.919554,25,21.19305
25.784454,30,21.207964
14.81925,17,21.216163
19.574764,23,21.285874
23.892208,30,21.311904
16.572937,21,21.338019
13.822397,17,21.338066
16.68249,19,21.338075
15.633344,19,21.359681
27.155062,30,21.368608
13.761124,16,21.42415
25.023222,33,21.424186
27.012918,31,21.511587
23.602987,28,21.539081
27.829803,31,21.565398
24.118322,31,21.565434
21.755836,28,21.574508
26.611135,32,21.601774
22.30682,26,21.628819
7.9147882,9,21.637875
10.874971,12,21.6379
25.551266,31,21.669367
12.322353,15,21.684564
9.081775,10,21.70714
9.114236,10,21.714465
14.382858,16,21.724241
23.073137,26,21.724267
11.78411,14,21.745433
17.20389,19,21.806663
12.3839035,14,21.821756
30.314814,35,21.837481
14.278628,17,21.847008
16.330421,19,21.847034
16.796494,20,21.862027
18.721357,24,21.86205
9.651547,11,21.898865
8.087377,9,21.9059
8.771466,10,21.912918
16.668262,19,21.942912
22.214102,29,21.950559
10.81419,13,21.950582
14.495921,16,21.950588
8.944782,10,21.97954
7.8743157,9,22.035574
13.390655,15,22.04353
28.565298,32,22.082652
17.113276,22,22.1063
23.415823,29,22.106341
9.008473,10,22.113112
26.656647,30,22.131073
23.834932,27,22.148191
8.799962,10,22.163365
14.583829,16,22.171803
27.73127,31,22.179146
8.582339,10,22.185974
11.838979,14,22.232512
9.69842,11,22.253331
17.345598,20,22.261196
18.776955,21,22.261219
10.430386,12,22.268296
15.058709,17,22.291333
19.30846,22,22.303659
18.604807,21,22.310124
10.41496,12,22.344532
15.098689,17,22.37266
11.2277355,13,22.381238
16.063284,18,22.395155
24.186863,32,22.469256
17.530746,21,22.469309
23.700396,29,22.476271
12.007614,13,22.476306
11.766841,14,22.492167
