r,l,t,episode
9.019048,14,690.316371,309
12.408197,18,692.841622,310
2.74726,5,693.526721,311
12.159671,19,696.025942,312
10.173762,16,698.351725,313
12.495238,18,700.778762,314
13.772363,20,703.454541,315
11.612066,17,705.750962,316
16.624176,25,709.018406,317
10.176762,16,711.185143,318
16.380109,24,714.441971,319
17.261479,25,717.986682,320
11.836211,18,720.379449,321
10.685714,17,722.573183,322
18.494044,27,726.188794,323
10.936327,17,728.509191,324
12.466667,18,730.923808,325
6.035096,9,732.120333,326
13.309328,19,734.615663,327
27.403751,40,739.645991,328
14.502274,22,743.084889,329
16.219431,23,746.228219,330
18.980952,28,749.842663,331
11.761905,17,752.023112,332
10.895238,17,754.333907,333
28.428571,40,759.270255,334
7.448472,11,760.720801,335
14.6122,22,763.623584,336
6.744639,10,764.946937,337
27.484616,40,770.212412,338
6.427537,10,771.584309,339
8.125905,13,773.355804,340
13.390476,21,775.963412,341
14.288639,21,778.798099,342
12.339453,18,781.218893,343
13.314286,20,783.916257,344
28.969603,40,788.919772,345
5.032881,8,790.029525,346
14.980952,23,793.037948,347
3.874723,6,793.867871,348
10.066207,15,795.975623,349
8.790476,14,797.893439,350
13.485714,21,801.06115,351
11.704762,17,803.774674,352
6.154716,10,805.234028,353
6.533333,10,806.691955,354
14.133333,22,809.690589,355
7.342857,12,811.398761,356
27.104762,40,816.9808,357
13.866667,20,819.728809,358
6.062851,9,821.088471,359
7.980952,12,822.837293,360
