#{"t_start": 1764374475.2067072, "env_id": "intersection-v1"}
r,l,t
10.0,10,245.573835
8.633113,10,246.208879
1.0,7,246.679024
9.0,9,247.148804
-1.318719,6,247.629549
1.242743,10,248.48061
8.615844,10,249.378333
8.616025,10,250.088434
9.0,9,250.805465
0.0,5,251.124898
0.0,6,251.680193
9.0,9,253.979854
10.0,10,254.808975
0.0,6,255.295614
-2.0,4,255.7391
10.0,10,256.364969
-0.841249,5,256.864143
-1.0,5,257.2932
0.0,6,257.817147
-1.0,5,258.277872
-1.366575,6,258.715734
-2.370348,5,259.104022
10.0,10,259.633285
9.0,9,260.173983
-2.0,4,260.530087
1.0,7,260.954395
-4.0,2,261.089905
8.550182,11,261.403967
0.0,6,261.942471
9.0,9,262.367025
-0.57992,5,262.791543
-5.0,1,262.903696
7.681208,9,263.205267
10.0,10,264.077147
1.0,7,264.505231
9.0,9,265.265394
8.0,8,265.707669
0.0,5,265.916795
-5.0,1,266.107284
7.616072,9,266.85172
-1.740161,6,267.265893
7.616072,9,267.736938
-1.0,5,267.92088
-1.0,5,268.133736
8.615844,10,268.851628
-1.0,5,269.28717
-1.318719,6,269.622454
8.562943,11,270.316192
0.700013,6,270.55387
9.0,9,271.099218
0.0,5,271.292272
9.0,9,272.146031
0.0,6,272.799354
-1.0,5,273.250879
9.0,9,274.13304
8.62673,10,274.884664
0.0,6,275.279361
0.0,6,275.491842
7.62673,10,276.057968
9.0,9,276.821487
-0.57992,5,277.0953
-1.372771,6,277.423389
-1.0,5,277.657411
-1.666651,5,277.968696
-1.0,5,278.307098
-2.448548,10,278.762922
1.158669,7,279.104503
9.0,9,279.529214
-1.0,5,279.745067
9.0,9,280.110362
0.0,6,280.512355
-3.372844,6,280.772686
8.615645,10,281.355529
0.0,6,281.805581
9.0,9,282.295668
-0.931455,6,282.523381
0.0,5,282.833387
-1.372771,6,283.172285
8.617423,10,283.823448
-1.0,5,284.045401
8.0,8,284.498592
10.0,10,285.277071
8.681208,10,285.834139
1.0,7,286.33575
10.0,10,288.04371
7.615917,9,288.665144
9.0,9,289.468917
10.0,10,290.273814
0.03618,7,290.635411
-0.299923,5,290.845296
0.0,6,291.328211
-1.318719,6,291.947433
-0.299923,5,292.325605
1.0,7,292.698261
-1.0,5,293.005688
-1.0,5,293.301421
9.0,9,293.731992
10.0,10,294.363753
2.0,8,294.959301
-1.0,5,295.311419
8.62673,10,295.984672
7.615917,9,296.317815
9.0,9,296.6598
0.420014,6,297.019936
-2.318366,5,297.383375
10.0,10,297.965562
-5.0,1,298.054172
8.0,8,298.382867
1.0,6,298.71427
-0.299923,5,299.152969
10.0,10,299.910912
-1.0,5,300.334295
9.0,9,301.255369
0.0,5,301.644169
6.552042,10,302.360882
-2.0,4,302.742373
-0.57992,5,303.189287
9.0,9,303.785737
-1.318719,7,304.40248
0.0,5,304.589875
-0.299923,5,305.089951
9.0,9,305.570675
-2.0,4,305.755172
10.0,10,306.315629
0.0,6,306.715423
9.0,9,307.274108
-1.0,5,307.447388
0.0,6,307.882659
8.0,8,308.233315
0.0,6,308.536234
7.561352,12,309.403745
8.0,8,310.1357
-1.318719,6,310.528575
0.0,6,310.996159
-1.379585,6,311.379506
9.0,9,311.890537
9.0,10,312.615306
10.0,10,313.191238
8.615844,10,313.781246
-1.0,5,314.0415
7.538963,11,314.848782
-2.0,4,315.110883
-1.0,5,315.355674
-1.0,5,315.62075
0.0,6,316.107939
9.0,9,316.503266
-0.299923,5,317.007173
-1.84084,4,317.32825
9.0,9,317.920742
-1.0,5,318.216869
9.0,9,318.619879
8.0,10,319.136145
10.0,10,319.59973
9.0,9,320.146278
0.0,6,320.633723
0.0,6,321.983196
0.0,6,322.399499
0.0,6,322.707226
7.616072,9,323.174907
9.0,9,323.618105
-2.838445,3,323.867049
10.0,10,324.429205
-0.299923,5,324.747076
10.0,10,325.659706
10.0,10,326.399478
9.0,9,326.908932
0.420014,6,327.177755
-1.0,5,327.529435
9.0,9,328.154454
-0.373185,7,328.607584
-1.0,5,328.994883
